A,B,C,D
Smith Wayne,78920,75827,60743
Allie Smack,51050,61042,65499
Jason Lunzano,77137,84592,63426
Qi Zhang,92761,84899,65926
Omar Gonzales ,91091,71359,66736
Aaron Smat,77838,81446,78485
Yip Reynolds,86279,82984,59700
Oscar Braxton,88917,67180,53186
Karen Young,96073,99374,51715
Randy Chester,64113,75691,51119
Anne Mann,58690,78863,72902
Lily Pad,57240,54286,53237
Anna Miller,94231,92081,70650
Zen Suzuki,60118,83104,90652
Rachel Mcdaniels,88948,60948,80276
Ivan Hamster,96867,64139,78893
Jim Carrey,51242,95444,78665
